task_id,mechanism_class,data_seed,strategy,observation_count,selected_proposal_id,validation_rmse,locked_rmse,stability_violations,gate_triggered,gate_reason,equivalent_candidate_count,normalized_prediction_ambiguity
XFER-CYCLIC-01,cyclic_damage,1090645961,no_acquisition,0,portfolio_f71c6ac9695309a2,0.0012372492050218959,0.0003169199299476413,0,False,equivalent_candidates_predict_similarly,2,0.14565412951513332
XFER-CYCLIC-01,cyclic_damage,1090645961,conditional_space_filling,0,portfolio_f71c6ac9695309a2,0.0012372492050218959,0.0003169199299476413,0,False,equivalent_candidates_predict_similarly,2,0.14565412951513332
XFER-CYCLIC-01,cyclic_damage,1090645961,evidence_guided_predictive_disagreement,0,portfolio_f71c6ac9695309a2,0.0012372492050218959,0.0003169199299476413,0,False,equivalent_candidates_predict_similarly,2,0.14565412951513332
XFER-THERMAL-01,thermal_damage,1090645961,no_acquisition,0,portfolio_8c893d74095a35d3,0.005816275336300259,0.0031827569432325326,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-THERMAL-01,thermal_damage,1090645961,conditional_space_filling,0,portfolio_8c893d74095a35d3,0.005816275336300259,0.0031827569432325326,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-THERMAL-01,thermal_damage,1090645961,evidence_guided_predictive_disagreement,0,portfolio_8c893d74095a35d3,0.005816275336300259,0.0031827569432325326,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-CREEP-01,creep,2164999260,no_acquisition,0,portfolio_6357bd811dd86672,0.002056598720045016,0.00075568727313885,0,False,equivalent_candidates_predict_similarly,2,0.30293628051361465
XFER-CREEP-01,creep,2164999260,conditional_space_filling,0,portfolio_6357bd811dd86672,0.002056598720045016,0.00075568727313885,0,False,equivalent_candidates_predict_similarly,2,0.30293628051361465
XFER-CREEP-01,creep,2164999260,evidence_guided_predictive_disagreement,0,portfolio_6357bd811dd86672,0.002056598720045016,0.00075568727313885,0,False,equivalent_candidates_predict_similarly,2,0.30293628051361465
XFER-PERM-01,permeability,2164999260,no_acquisition,0,portfolio_ed7508e8a47eec24,0.00587565305234761,0.00523754696198752,0,False,equivalent_candidates_predict_similarly,6,0.5206170778346877
XFER-PERM-01,permeability,2164999260,conditional_space_filling,0,portfolio_ed7508e8a47eec24,0.00587565305234761,0.00523754696198752,0,False,equivalent_candidates_predict_similarly,6,0.5206170778346877
XFER-PERM-01,permeability,2164999260,evidence_guided_predictive_disagreement,0,portfolio_ed7508e8a47eec24,0.00587565305234761,0.00523754696198752,0,False,equivalent_candidates_predict_similarly,6,0.5206170778346877
XFER-CYCLIC-01,cyclic_damage,2164999260,no_acquisition,0,portfolio_051605aaaff8eac3,0.0014542665297911817,0.0007467549666205058,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-CYCLIC-01,cyclic_damage,2164999260,conditional_space_filling,0,portfolio_051605aaaff8eac3,0.0014542665297911817,0.0007467549666205058,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-CYCLIC-01,cyclic_damage,2164999260,evidence_guided_predictive_disagreement,0,portfolio_051605aaaff8eac3,0.0014542665297911817,0.0007467549666205058,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-THERMAL-01,thermal_damage,2164999260,no_acquisition,0,portfolio_d8bdcedcaba5de17,0.008952433196830601,0.00912485282325125,0,False,equivalent_candidates_predict_similarly,2,0.021017197076764093
XFER-THERMAL-01,thermal_damage,2164999260,conditional_space_filling,0,portfolio_d8bdcedcaba5de17,0.008952433196830601,0.00912485282325125,0,False,equivalent_candidates_predict_similarly,2,0.021017197076764093
XFER-THERMAL-01,thermal_damage,2164999260,evidence_guided_predictive_disagreement,0,portfolio_d8bdcedcaba5de17,0.008952433196830601,0.00912485282325125,0,False,equivalent_candidates_predict_similarly,2,0.021017197076764093
XFER-CREEP-01,creep,3799979468,no_acquisition,0,portfolio_c7ef84498d9b01a6,0.004597344862317005,0.004994292445512886,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-CREEP-01,creep,3799979468,conditional_space_filling,0,portfolio_c7ef84498d9b01a6,0.004597344862317005,0.004994292445512886,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-CREEP-01,creep,3799979468,evidence_guided_predictive_disagreement,0,portfolio_c7ef84498d9b01a6,0.004597344862317005,0.004994292445512886,0,False,insufficient_validation_equivalent_candidates,1,0.0
XFER-PERM-01,permeability,3799979468,no_acquisition,0,portfolio_b347cb206c3d2b52,0.006458669484437218,0.0013008788984982126,0,False,equivalent_candidates_predict_similarly,5,0.6700570938329488
XFER-PERM-01,permeability,3799979468,conditional_space_filling,0,portfolio_b347cb206c3d2b52,0.006458669484437218,0.0013008788984982126,0,False,equivalent_candidates_predict_similarly,5,0.6700570938329488
XFER-PERM-01,permeability,3799979468,evidence_guided_predictive_disagreement,0,portfolio_b347cb206c3d2b52,0.006458669484437218,0.0013008788984982126,0,False,equivalent_candidates_predict_similarly,5,0.6700570938329488
XFER-CYCLIC-01,cyclic_damage,3799979468,no_acquisition,0,portfolio_e5c76560a5eca862,0.0014892882857196305,0.0006593275823055211,0,False,equivalent_candidates_predict_similarly,4,0.4016244358752911
XFER-CYCLIC-01,cyclic_damage,3799979468,conditional_space_filling,0,portfolio_e5c76560a5eca862,0.0014892882857196305,0.0006593275823055211,0,False,equivalent_candidates_predict_similarly,4,0.4016244358752911
