task_id,mechanism_class,data_seed,strategy,selected_proposal_id,selected_source_labels,selected_formula,validation_rmse,locked_rmse,baseline_locked_rmse,normalized_locked_rmse,complexity,stability_violations,corrected_behavior_recovered,acquisitions_used,initial_gate_triggered,final_ambiguity_class,final_equivalent_candidate_count,final_normalized_maximum_pairwise_rmse,strict_structure_candidate_covered,strict_structure_reached_final_stage,selected_strict_structure
XFER-PERM-01,permeability,2324701358,no_acquisition,portfolio_e5a1a7adc89df9d7,fit_feedback_llm,M_base(x) + (a6 * (exp(-((b3 * x1))) - 1)),0.007760311431453826,0.0011262564478114732,0.2549238309747096,0.0044180116213740975,9,0,True,0,False,prediction_equivalent,3,0.7070140710285356,True,True,True
XFER-PERM-01,permeability,2324701358,conditional_space_filling,portfolio_e5a1a7adc89df9d7,fit_feedback_llm,M_base(x) + (a6 * (exp(-((b3 * x1))) - 1)),0.007760311431453826,0.0011262564478114732,0.2549238309747096,0.0044180116213740975,9,0,True,0,False,prediction_equivalent,3,0.7070140710285356,True,True,True
XFER-PERM-01,permeability,2324701358,evidence_guided_predictive_disagreement,portfolio_e5a1a7adc89df9d7,fit_feedback_llm,M_base(x) + (a6 * (exp(-((b3 * x1))) - 1)),0.007760311431453826,0.0011262564478114732,0.2549238309747096,0.0044180116213740975,9,0,True,0,False,prediction_equivalent,3,0.7070140710285356,True,True,True
XFER-CYCLIC-01,cyclic_damage,2324701358,no_acquisition,portfolio_9fa65cd6dc47629a,pysr,M_base(x) + (x1 * tanh((x2 * x2 * (pysr_coefficient_1 ^ -1))) * ((pysr_coefficient_2 * (tanh((x1 + pysr_coefficient_3)) ^ -1)) ^ -1) * pysr_coefficient_4),0.0018655496070840187,0.0006755299327035987,0.03151898470707046,0.021432477568100766,20,0,True,0,False,identified_singleton,1,0.0,False,False,False
XFER-CYCLIC-01,cyclic_damage,2324701358,conditional_space_filling,portfolio_9fa65cd6dc47629a,pysr,M_base(x) + (x1 * tanh((x2 * x2 * (pysr_coefficient_1 ^ -1))) * ((pysr_coefficient_2 * (tanh((x1 + pysr_coefficient_3)) ^ -1)) ^ -1) * pysr_coefficient_4),0.0018655496070840187,0.0006755299327035987,0.03151898470707046,0.021432477568100766,20,0,True,0,False,identified_singleton,1,0.0,False,False,False
XFER-CYCLIC-01,cyclic_damage,2324701358,evidence_guided_predictive_disagreement,portfolio_9fa65cd6dc47629a,pysr,M_base(x) + (x1 * tanh((x2 * x2 * (pysr_coefficient_1 ^ -1))) * ((pysr_coefficient_2 * (tanh((x1 + pysr_coefficient_3)) ^ -1)) ^ -1) * pysr_coefficient_4),0.0018655496070840187,0.0006755299327035987,0.03151898470707046,0.021432477568100766,20,0,True,0,False,identified_singleton,1,0.0,False,False,False
XFER-THERMAL-01,thermal_damage,2324701358,no_acquisition,portfolio_bd8afc473c872934,pysr,M_base(x) + (pysr_coefficient_1 * (x1 ^ 2) * exp((-1 * tanh((pysr_coefficient_2 * x2))))),0.005649936023278722,0.0014708783006338211,0.18760674332424535,0.007840220850119796,12,0,True,0,False,prediction_equivalent,2,0.16432895524618987,False,False,False
XFER-THERMAL-01,thermal_damage,2324701358,conditional_space_filling,portfolio_bd8afc473c872934,pysr,M_base(x) + (pysr_coefficient_1 * (x1 ^ 2) * exp((-1 * tanh((pysr_coefficient_2 * x2))))),0.005649936023278722,0.0014708783006338211,0.18760674332424535,0.007840220850119796,12,0,True,0,False,prediction_equivalent,2,0.16432895524618987,False,False,False
XFER-THERMAL-01,thermal_damage,2324701358,evidence_guided_predictive_disagreement,portfolio_bd8afc473c872934,pysr,M_base(x) + (pysr_coefficient_1 * (x1 ^ 2) * exp((-1 * tanh((pysr_coefficient_2 * x2))))),0.005649936023278722,0.0014708783006338211,0.18760674332424535,0.007840220850119796,12,0,True,0,False,prediction_equivalent,2,0.16432895524618987,False,False,False
XFER-CREEP-01,creep,1090645961,no_acquisition,portfolio_edacc189fb2b2ab3,pysr,M_base(x) + (tanh((x1 + tanh(tanh(tanh(tanh(x1)))))) * pysr_coefficient_1 * x2),0.0019396358050545951,0.0010965196935962243,0.19681354481599772,0.005571362959908922,11,0,True,0,False,identified_singleton,1,0.0,True,False,False
XFER-CREEP-01,creep,1090645961,conditional_space_filling,portfolio_edacc189fb2b2ab3,pysr,M_base(x) + (tanh((x1 + tanh(tanh(tanh(tanh(x1)))))) * pysr_coefficient_1 * x2),0.0019396358050545951,0.0010965196935962243,0.19681354481599772,0.005571362959908922,11,0,True,0,False,identified_singleton,1,0.0,True,False,False
XFER-CREEP-01,creep,1090645961,evidence_guided_predictive_disagreement,portfolio_edacc189fb2b2ab3,pysr,M_base(x) + (tanh((x1 + tanh(tanh(tanh(tanh(x1)))))) * pysr_coefficient_1 * x2),0.0019396358050545951,0.0010965196935962243,0.19681354481599772,0.005571362959908922,11,0,True,0,False,identified_singleton,1,0.0,True,False,False
XFER-PERM-01,permeability,1090645961,no_acquisition,portfolio_d5e1fd2bfa25d18e,pysr,M_base(x) + (((x1 ^ 1.17085) * pysr_coefficient_1) + (-1 * x1) + (-1 * (x1 * pysr_coefficient_2))),0.006265812830290878,0.0007910353597892677,0.25889195223879363,0.0030554652353953515,14,0,True,0,False,prediction_equivalent,3,0.25140393587599985,False,False,False
XFER-PERM-01,permeability,1090645961,conditional_space_filling,portfolio_d5e1fd2bfa25d18e,pysr,M_base(x) + (((x1 ^ 1.17085) * pysr_coefficient_1) + (-1 * x1) + (-1 * (x1 * pysr_coefficient_2))),0.006265812830290878,0.0007910353597892677,0.25889195223879363,0.0030554652353953515,14,0,True,0,False,prediction_equivalent,3,0.25140393587599985,False,False,False
XFER-PERM-01,permeability,1090645961,evidence_guided_predictive_disagreement,portfolio_d5e1fd2bfa25d18e,pysr,M_base(x) + (((x1 ^ 1.17085) * pysr_coefficient_1) + (-1 * x1) + (-1 * (x1 * pysr_coefficient_2))),0.006265812830290878,0.0007910353597892677,0.25889195223879363,0.0030554652353953515,14,0,True,0,False,prediction_equivalent,3,0.25140393587599985,False,False,False
XFER-CYCLIC-01,cyclic_damage,1090645961,no_acquisition,portfolio_f71c6ac9695309a2,pysr,M_base(x) + (tanh(((x1 + ((x1 + pysr_coefficient_1) * pysr_coefficient_2)) * pysr_coefficient_3)) * pysr_coefficient_4 * x2 * (x1 + x1) * x2),0.0012372492050218959,0.0003169199299476413,0.03271451995399032,0.009687439412021244,17,0,True,0,False,prediction_equivalent,2,0.14565412951513332,False,False,False
XFER-CYCLIC-01,cyclic_damage,1090645961,conditional_space_filling,portfolio_f71c6ac9695309a2,pysr,M_base(x) + (tanh(((x1 + ((x1 + pysr_coefficient_1) * pysr_coefficient_2)) * pysr_coefficient_3)) * pysr_coefficient_4 * x2 * (x1 + x1) * x2),0.0012372492050218959,0.0003169199299476413,0.03271451995399032,0.009687439412021244,17,0,True,0,False,prediction_equivalent,2,0.14565412951513332,False,False,False
XFER-CYCLIC-01,cyclic_damage,1090645961,evidence_guided_predictive_disagreement,portfolio_f71c6ac9695309a2,pysr,M_base(x) + (tanh(((x1 + ((x1 + pysr_coefficient_1) * pysr_coefficient_2)) * pysr_coefficient_3)) * pysr_coefficient_4 * x2 * (x1 + x1) * x2),0.0012372492050218959,0.0003169199299476413,0.03271451995399032,0.009687439412021244,17,0,True,0,False,prediction_equivalent,2,0.14565412951513332,False,False,False
XFER-THERMAL-01,thermal_damage,1090645961,no_acquisition,portfolio_8c893d74095a35d3,pysr,M_base(x) + (x1 * (sin((x2 * (pysr_coefficient_1 ^ -1))) + pysr_coefficient_2) * pysr_coefficient_3 * x1),0.005816275336300259,0.0031827569432325326,0.1844017989773142,0.017259901806186213,12,0,True,0,False,identified_singleton,1,0.0,False,False,False
XFER-THERMAL-01,thermal_damage,1090645961,conditional_space_filling,portfolio_8c893d74095a35d3,pysr,M_base(x) + (x1 * (sin((x2 * (pysr_coefficient_1 ^ -1))) + pysr_coefficient_2) * pysr_coefficient_3 * x1),0.005816275336300259,0.0031827569432325326,0.1844017989773142,0.017259901806186213,12,0,True,0,False,identified_singleton,1,0.0,False,False,False
XFER-THERMAL-01,thermal_damage,1090645961,evidence_guided_predictive_disagreement,portfolio_8c893d74095a35d3,pysr,M_base(x) + (x1 * (sin((x2 * (pysr_coefficient_1 ^ -1))) + pysr_coefficient_2) * pysr_coefficient_3 * x1),0.005816275336300259,0.0031827569432325326,0.1844017989773142,0.017259901806186213,12,0,True,0,False,identified_singleton,1,0.0,False,False,False
XFER-CREEP-01,creep,2164999260,no_acquisition,portfolio_6357bd811dd86672,fit_feedback_llm,M_base(x) + (p0 * x2 * tanh((p1 * (x1 ^ p2)))),0.002056598720045016,0.00075568727313885,0.19229379912302189,0.003929857731165796,9,0,True,0,False,prediction_equivalent,2,0.3029362826480221,False,False,False
XFER-CREEP-01,creep,2164999260,conditional_space_filling,portfolio_6357bd811dd86672,fit_feedback_llm,M_base(x) + (p0 * x2 * tanh((p1 * (x1 ^ p2)))),0.002056598720045016,0.00075568727313885,0.19229379912302189,0.003929857731165796,9,0,True,0,False,prediction_equivalent,2,0.3029362826480221,False,False,False
XFER-CREEP-01,creep,2164999260,evidence_guided_predictive_disagreement,portfolio_6357bd811dd86672,fit_feedback_llm,M_base(x) + (p0 * x2 * tanh((p1 * (x1 ^ p2)))),0.002056598720045016,0.00075568727313885,0.19229379912302189,0.003929857731165796,9,0,True,0,False,prediction_equivalent,2,0.3029362826480221,False,False,False
XFER-PERM-01,permeability,2164999260,no_acquisition,portfolio_ed7508e8a47eec24,pysr,M_base(x) + (tanh(x1) * pysr_coefficient_1),0.00587565305234761,0.00523754696198752,0.2556945595960406,0.020483607356613556,4,0,True,0,False,prediction_equivalent,2,0.5160816751922145,True,False,False
XFER-PERM-01,permeability,2164999260,conditional_space_filling,portfolio_ed7508e8a47eec24,pysr,M_base(x) + (tanh(x1) * pysr_coefficient_1),0.00587565305234761,0.00523754696198752,0.2556945595960406,0.020483607356613556,4,0,True,0,False,prediction_equivalent,2,0.5160816751922145,True,False,False
XFER-PERM-01,permeability,2164999260,evidence_guided_predictive_disagreement,portfolio_ed7508e8a47eec24,pysr,M_base(x) + (tanh(x1) * pysr_coefficient_1),0.00587565305234761,0.00523754696198752,0.2556945595960406,0.020483607356613556,4,0,True,0,False,prediction_equivalent,2,0.5160816751922145,True,False,False
XFER-CYCLIC-01,cyclic_damage,2164999260,no_acquisition,portfolio_051605aaaff8eac3,fit_feedback_llm,M_base(x) + (p0 * (x1 ^ p1) * (x2 ^ p2)),0.0014542665297911817,0.0007467549666205058,0.033452538486968,0.022322819146039303,8,0,True,0,False,identified_singleton,1,0.0,False,False,False
XFER-CYCLIC-01,cyclic_damage,2164999260,conditional_space_filling,portfolio_051605aaaff8eac3,fit_feedback_llm,M_base(x) + (p0 * (x1 ^ p1) * (x2 ^ p2)),0.0014542665297911817,0.0007467549666205058,0.033452538486968,0.022322819146039303,8,0,True,0,False,identified_singleton,1,0.0,False,False,False
XFER-CYCLIC-01,cyclic_damage,2164999260,evidence_guided_predictive_disagreement,portfolio_051605aaaff8eac3,fit_feedback_llm,M_base(x) + (p0 * (x1 ^ p1) * (x2 ^ p2)),0.0014542665297911817,0.0007467549666205058,0.033452538486968,0.022322819146039303,8,0,True,0,False,identified_singleton,1,0.0,False,False,False
XFER-THERMAL-01,thermal_damage,2164999260,no_acquisition,portfolio_d8bdcedcaba5de17,pysr,M_base(x) + (x1 * x1 * ((x2 * pysr_coefficient_1) + (-1 * pysr_coefficient_2))),0.008952433196830601,0.00912485282325125,0.18236724150592074,0.050035591633133314,10,0,True,0,False,prediction_equivalent,2,0.021017197076764093,False,False,False
XFER-THERMAL-01,thermal_damage,2164999260,conditional_space_filling,portfolio_d8bdcedcaba5de17,pysr,M_base(x) + (x1 * x1 * ((x2 * pysr_coefficient_1) + (-1 * pysr_coefficient_2))),0.008952433196830601,0.00912485282325125,0.18236724150592074,0.050035591633133314,10,0,True,0,False,prediction_equivalent,2,0.021017197076764093,False,False,False
XFER-THERMAL-01,thermal_damage,2164999260,evidence_guided_predictive_disagreement,portfolio_d8bdcedcaba5de17,pysr,M_base(x) + (x1 * x1 * ((x2 * pysr_coefficient_1) + (-1 * pysr_coefficient_2))),0.008952433196830601,0.00912485282325125,0.18236724150592074,0.050035591633133314,10,0,True,0,False,prediction_equivalent,2,0.021017197076764093,False,False,False
