strategy,cell_count,mean_normalized_locked_rmse,median_normalized_locked_rmse,mean_acquisitions,total_acquisitions,behavior_recovery_count
conditional_space_filling,32,0.1286853834582804,0.09363287471886214,2.15625,69,14
unconditional_space_filling,32,0.10076677056117808,0.0785611633768773,3.0,96,16
