zone_id,model,gp_id,x_m,z_m,disp_x_m,disp_z_m,stress_xx_Pa,stress_zz_Pa,stress_xz_Pa,state
1324,softening-ubiquitous,2703,-50.70903154,115.180619,-0.09100218542,0.08705951804,-6010959.111,-4407516.259,-840998.4564,0
1325,softening-ubiquitous,2599,-47.98641038,110.4649009,-0.07846323025,0.0941898436,-5824454.007,-4458351.825,-1004061.058,0
1325,softening-ubiquitous,2703,-50.70903154,115.180619,-0.09100218542,0.08705951804,-5824454.007,-4458351.825,-1004061.058,0
1325,softening-ubiquitous,2601,-82.78433515,110.1343351,-0.07579053435,0.0003772779052,-5824454.007,-4458351.825,-1004061.058,0
1325,softening-ubiquitous,2705,-87.66353927,115.0135393,-0.08916086282,-0.01288158772,-5824454.007,-4458351.825,-1004061.058,0
1326,softening-ubiquitous,2601,-82.78433515,110.1343351,-0.07579053435,0.0003772779052,-5541507.394,-4532585.259,-1036069.986,0
1326,softening-ubiquitous,2705,-87.66353927,115.0135393,-0.08916086282,-0.01288158772,-5541507.394,-4532585.259,-1036069.986,0
1326,softening-ubiquitous,2603,-89.48013902,88.65482941,-0.01524674405,-0.01761304521,-5541507.394,-4532585.259,-1036069.986,0
1326,softening-ubiquitous,2707,-94.68288509,92.21934622,-0.02552249717,-0.03224142565,-5541507.394,-4532585.259,-1036069.986,0
1327,softening-ubiquitous,2603,-89.48013902,88.65482941,-0.01524674405,-0.01761304521,-5523377.712,-4911126.654,-1207451.235,0
1327,softening-ubiquitous,2707,-94.68288509,92.21934622,-0.02552249717,-0.03224142565,-5523377.712,-4911126.654,-1207451.235,0
1327,softening-ubiquitous,2605,-89.565566,79.06070364,0.01269847044,-0.01717596334,-5523377.712,-4911126.654,-1207451.235,0
1327,softening-ubiquitous,2709,-94.72606294,82.04011794,0.003812891341,-0.03183036389,-5523377.712,-4911126.654,-1207451.235,0
1328,softening-ubiquitous,2605,-89.565566,79.06070364,0.01269847044,-0.01717596334,-5573315.859,-5839246.563,-1533343.564,0
1328,softening-ubiquitous,2709,-94.72606294,82.04011794,0.003812891341,-0.03183036389,-5573315.859,-5839246.563,-1533343.564,0
1328,softening-ubiquitous,2607,-89.77336829,51.40470153,0.0946118337,-0.01283267856,-5573315.859,-5839246.563,-1533343.564,0
1328,softening-ubiquitous,2711,-94.83109367,52.75991497,0.0900532871,-0.02678918789,-5573315.859,-5839246.563,-1533343.564,0
1329,softening-ubiquitous,2607,-89.77336829,51.40470153,0.0946118337,-0.01283267856,-5607701.598,-7512369.76,-1792652.644,0
