zone_id,model,gp_id,x_m,z_m,disp_x_m,disp_z_m,stress_xx_Pa,stress_zz_Pa,stress_xz_Pa,state
1285,softening-ubiquitous,2623,-54.25845138,-107.1258481,0.01415773783,-0.1397596214,-7713312.587,-4749796.827,-2174743.205,0
1285,softening-ubiquitous,2521,-44.48440714,-102.2435449,0.01933579392,-0.1596986701,-7713312.587,-4749796.827,-2174743.205,0
1285,softening-ubiquitous,2625,-46.47076792,-108.0302812,0.01181658431,-0.1565359614,-7713312.587,-4749796.827,-2174743.205,0
1286,softening-ubiquitous,2521,-44.48440714,-102.2435449,0.01933579392,-0.1596986701,-6385130.685,-4394302.937,-1750664.319,0
1286,softening-ubiquitous,2625,-46.47076792,-108.0302812,0.01181658431,-0.1565359614,-6385130.685,-4394302.937,-1750664.319,0
1286,softening-ubiquitous,2523,-39.10803189,-103.5852244,0.01620688924,-0.1673293766,-6385130.685,-4394302.937,-1750664.319,0
1286,softening-ubiquitous,2627,-40.70582977,-108.9347144,0.01093288689,-0.165710324,-6385130.685,-4394302.937,-1750664.319,0
1287,softening-ubiquitous,2523,-39.10803189,-103.5852244,0.01620688924,-0.1673293766,-5445373.908,-4216008.252,-1238416.82,0
1287,softening-ubiquitous,2627,-40.70582977,-108.9347144,0.01093288689,-0.165710324,-5445373.908,-4216008.252,-1238416.82,0
1287,softening-ubiquitous,2525,-34.96758896,-104.9269039,0.01443557808,-0.1713780564,-5445373.908,-4216008.252,-1238416.82,0
1287,softening-ubiquitous,2629,-36.26614759,-109.8391475,0.01065511733,-0.17034854,-5445373.908,-4216008.252,-1238416.82,0
1288,softening-ubiquitous,2525,-34.96758896,-104.9269039,0.01443557808,-0.1713780564,-4467380.201,-4433962.404,-915506.1966,0
1288,softening-ubiquitous,2629,-36.26614759,-109.8391475,0.01065511733,-0.17034854,-4467380.201,-4433962.404,-915506.1966,0
1288,softening-ubiquitous,2423,-31.68083568,-106.2685834,0.0135423883,-0.1734841142,-4467380.201,-4433962.404,-915506.1966,0
1288,softening-ubiquitous,2527,-32.74185315,-110.7435806,0.01101498308,-0.1724846613,-4467380.201,-4433962.404,-915506.1966,0
1289,softening-ubiquitous,2527,-32.74185315,-110.7435806,0.01101498308,-0.1724846613,-2217153.618,-4719594.921,-1138874.99,0
1289,softening-ubiquitous,2631,-33.82726715,-115.3214738,0.008326568796,-0.1707744764,-2217153.618,-4719594.921,-1138874.99,0
1289,softening-ubiquitous,2529,-24.55638986,-110.7435806,0.01373826503,-0.1751931123,-2217153.618,-4719594.921,-1138874.99,0
1289,softening-ubiquitous,2633,-25.37045036,-115.3214738,0.01295934646,-0.1742504179,-2217153.618,-4719594.921,-1138874.99,0
1290,softening-ubiquitous,2529,-24.55638986,-110.7435806,0.01373826503,-0.1751931123,-2266922.7,-4538351.482,-907813.1433,0
1290,softening-ubiquitous,2633,-25.37045036,-115.3214738,0.01295934646,-0.1742504179,-2266922.7,-4538351.482,-907813.1433,0
1290,softening-ubiquitous,2531,-16.37092658,-110.7435806,0.01632172796,-0.1741747435,-2266922.7,-4538351.482,-907813.1433,0
1290,softening-ubiquitous,2635,-16.91363357,-115.3214738,0.01746234414,-0.1735518774,-2266922.7,-4538351.482,-907813.1433,0
1291,softening-ubiquitous,2531,-16.37092658,-110.7435806,0.01632172796,-0.1741747435,-2232232.283,-4489276.768,-743837.81,0
1291,softening-ubiquitous,2635,-16.91363357,-115.3214738,0.01746234414,-0.1735518774,-2232232.283,-4489276.768,-743837.81,0
1291,softening-ubiquitous,2533,-8.185463288,-110.7435806,0.01893096965,-0.1695335725,-2232232.283,-4489276.768,-743837.81,0
1291,softening-ubiquitous,2637,-8.456816786,-115.3214738,0.02197147643,-0.1689450663,-2232232.283,-4489276.768,-743837.81,0
1292,softening-ubiquitous,2533,-8.185463288,-110.7435806,0.01893096965,-0.1695335725,-2334438.798,-4475790.278,-663722.8054,0
1292,softening-ubiquitous,2637,-8.456816786,-115.3214738,0.02197147643,-0.1689450663,-2334438.798,-4475790.278,-663722.8054,0
1292,softening-ubiquitous,2535,0,-110.7435806,0.02152353189,-0.1616887965,-2334438.798,-4475790.278,-663722.8054,0
1292,softening-ubiquitous,2639,0,-115.3214738,0.02626274614,-0.1609382166,-2334438.798,-4475790.278,-663722.8054,0
1293,softening-ubiquitous,2535,0,-110.7435806,0.02152353189,-0.1616887965,-2509716.311,-4457387.671,-601476.1633,0
1293,softening-ubiquitous,2639,0,-115.3214738,0.02626274614,-0.1609382166,-2509716.311,-4457387.671,-601476.1633,0
1293,softening-ubiquitous,2537,8.185463288,-110.7435806,0.02401556328,-0.1510323794,-2509716.311,-4457387.671,-601476.1633,0
1293,softening-ubiquitous,2641,8.456816786,-115.3214738,0.03025648512,-0.1499401579,-2509716.311,-4457387.671,-601476.1633,0
1294,softening-ubiquitous,2537,8.185463288,-110.7435806,0.02401556328,-0.1510323794,-2749394.249,-4445224.687,-562554.3386,0
1294,softening-ubiquitous,2641,8.456816786,-115.3214738,0.03025648512,-0.1499401579,-2749394.249,-4445224.687,-562554.3386,0
1294,softening-ubiquitous,2539,16.37092658,-110.7435806,0.02634361742,-0.1379491405,-2749394.249,-4445224.687,-562554.3386,0
1294,softening-ubiquitous,2643,16.91363357,-115.3214738,0.03388149919,-0.1363801853,-2749394.249,-4445224.687,-562554.3386,0
1295,softening-ubiquitous,2539,16.37092658,-110.7435806,0.02634361742,-0.1379491405,-3029563.477,-4435249.01,-543175.0469,0
1295,softening-ubiquitous,2643,16.91363357,-115.3214738,0.03388149919,-0.1363801853,-3029563.477,-4435249.01,-543175.0469,0
1295,softening-ubiquitous,2541,24.55638986,-110.7435806,0.02846328223,-0.1228179198,-3029563.477,-4435249.01,-543175.0469,0
1295,softening-ubiquitous,2645,25.37045036,-115.3214738,0.03709594503,-0.1206630932,-3029563.477,-4435249.01,-543175.0469,0
1296,softening-ubiquitous,2541,24.55638986,-110.7435806,0.02846328223,-0.1228179198,-3322210.383,-4426674.121,-546112.9529,0
1296,softening-ubiquitous,2645,25.37045036,-115.3214738,0.03709594503,-0.1206630932,-3322210.383,-4426674.121,-546112.9529,0
1296,softening-ubiquitous,2543,32.74185315,-110.7435806,0.03035027405,-0.1059974986,-3322210.383,-4426674.121,-546112.9529,0
1296,softening-ubiquitous,2647,33.82726715,-115.3214738,0.03989823004,-0.1031819222,-3322210.383,-4426674.121,-546112.9529,0
1297,softening-ubiquitous,2543,32.74185315,-110.7435806,0.03035027405,-0.1059974986,-3594507.61,-4400775.623,-538193.6236,0
1297,softening-ubiquitous,2647,33.82726715,-115.3214738,0.03989823004,-0.1031819222,-3594507.61,-4400775.623,-538193.6236,0
