case_id,scenario_id,beta_deg,psi_deg,stress_ratio,model,mesh,circumferential_zones,radial_zones,stage,response_max_m,response_crown_m,response_left_wall_m,response_right_wall_m,response_wall_convergence_m,response_invert_m,probe_max_distance_m,plastic_zone_count,support_element_count,ratio_average,ratio_maximum,ratio_local,ratio_selected,convergence_metric
pair_qualification_s6_softening_discovered_exponential_body_fitted_v3_ti_smoke,pair_qualification_s6,45,30,0.65,softening_discovered_exponential,body_fitted_v3_ti_smoke,12,24,1,0.02349215294,0.01693253281,0,0,0,0,0,67,44,9.98591639e-06,0.0001204642509,0.0004865304349,9.98591639e-06,average
pair_qualification_s6_softening_discovered_exponential_body_fitted_v3_ti_smoke,pair_qualification_s6,45,30,0.65,softening_discovered_exponential,body_fitted_v3_ti_smoke,12,24,2,0.03363300323,0.01706894423,0,0,0,0,0,90,56,9.99455779e-06,0.0001760411184,0.0001588909998,9.99455779e-06,average
pair_qualification_s6_softening_discovered_exponential_body_fitted_v3_ti_smoke,pair_qualification_s6,45,30,0.65,softening_discovered_exponential,body_fitted_v3_ti_smoke,12,24,3,0.05586002608,0.01361586158,0.0310377031,0.01710371971,0.04814142281,0,0,126,64,9.973419287e-06,0.0003503301894,7.790672457e-05,9.973419287e-06,average
pair_qualification_s6_softening_discovered_exponential_body_fitted_v3_ti_smoke,pair_qualification_s6,45,30,0.65,softening_discovered_exponential,body_fitted_v3_ti_smoke,12,24,4,0.08395640778,0.006283539557,0.07138719612,0.05576195599,0.1271491521,0,0,173,72,9.990412537e-06,0.0001424478367,0.0001777228214,9.990412537e-06,average
pair_qualification_s6_softening_discovered_exponential_body_fitted_v3_ti_smoke,pair_qualification_s6,45,30,0.65,softening_discovered_exponential,body_fitted_v3_ti_smoke,12,24,5,0.1411541646,0.01270054515,0.1108189593,0.1049601121,0.2157790714,0,0,264,80,9.977688102e-06,8.822060499e-05,0.0001178859029,9.977688102e-06,average
pair_qualification_s6_softening_discovered_exponential_body_fitted_v3_ti_smoke,pair_qualification_s6,45,30,0.65,softening_discovered_exponential,body_fitted_v3_ti_smoke,12,24,6,0.4476319097,0.1934987704,0.2570779642,0.3244251718,0.581503136,0.07933319094,0,390,104,9.978802565e-06,5.275492735e-05,0.0005690201053,9.978802565e-06,average
